canonical_team_id,af_team_id,af_team_name,ft_team_id,ft_team_name,us_team_id,us_team_name,sf_team_id,sf_team_name,tm_team_id,tm_team_name,tm_total_market_value_eur,tm_squad_size,tm_average_age
ANTEQUERA,9742,Antequera,,,,,,,,,,,
ANTHEIAS_ARISTINOU,12361,Antheias-Aristinou,,,,,,,,,,,
ANTOFAGASTA,2327,Antofagasta,2183.0,CD Antofagasta,,,689969830c00e97c,CD Antofagasta,17222.0,Deportes Antofagasta,5510000,27,26.7
ANTOING,8447,Antoing,,,,,,,,,,,
ANTONIA,8423,Antonia,,,,,,,,,,,
ANTONIANO,7522,Antoniano,,,,,,,,,,,
ANTWERP,740,Antwerp,1048.0,Royal Antwerp FC,,,e66b479989c1eb9a,Antwerp,1096.0,Royal Antwerp FC,52950000,31,24.4
ANVAING,19494,Anvaing,,,,,,,,,,,
ANZEGEM,8496,Anzegem,,,,,,,,,,,
AOK_KERKYRA,2111,AOK Kerkyra,,,,,,,,,,,
AO_ITABAIANA,2204,AO Itabaiana,,,,,,,,,,,
APARECIDA_GO,22096,Aparecida GO,,,,,,,,,,,
APARECIDENSE,1202,Aparecidense,,,,,,,,,,,
APM_METZ,3245,APM Metz,,,,,,,,,,,
APOEL_NICOSIA,2247,Apoel Nicosia,,,,,,,,,,,
APOLLON_AGIOS_IOANNIS,20044,Apollon Agios Ioannis,,,,,,,,,,,
APOLLON_KRYA_VRYSI,24853,Apollon Krya Vrysi,,,,,,,,,,,
APOLLON_LARISSA_FC,2101,Apollon Larissa FC,,,,,,,,,,,
APOLLON_LIMASSOL,602,Apollon Limassol,,,,,,,,,,,
APOLLON_PARALIMNIOU,5030,Apollon Paralimniou,,,,,,,,,,,
APOLLON_PONTOU,2102,Apollon Pontou,,,,,,,,,,,
APOLLON_SMIRNIS,951,Apollon Smirnis,,,,,,,,,,,
APOLLO_EFPALIOU,6295,Apollo Efpaliou,,,,,,,,,,,
APOTHEOS,23216,Apotheos,,,,,,,,,,,
APPALACHIAN,20961,Appalachian,,,,,,,,,,,
APS_PATRAI,20684,APS Patrai,,,,,,,,,,,
AQUIDAUANENSE,9996,Aquidauanense,,,,,,,,,,,
ARAMEISKA_SYRIANSKA,11668,Arameiska / Syrianska,,,,,,,,,,,
ARANDINA,9722,Arandina,,,,,,,,,,,
ARARAT,3682,Ararat,,,,,,,,,,,
ARARAT_ARMENIA,3683,Ararat-Armenia,,,,,,,,,,,
ARAZ,11238,Araz,,,,,,,,,,,
ARBEDO_CASTIONE,19592,Arbedo-Castione,,,,,,,,,,,
ARBROATH,4249,Arbroath,1165.0,Arbroath FC,,,0,0,3021.0,Arbroath FC,1230000,24,28.5
ARC,6259,ARC,,,,,,,,,,,
ARDAGGER,8281,Ardagger,,,,,,,,,,,
ARDAL,16221,Årdal,,,,,,,,,,,
ARDA_KARDZHALI,1430,Arda Kardzhali,,,,,,,,,,,
ARDENNEN,5745,Ardennen,,,,,,,,,,,
